,Address,Case,DateTime,File,Incident,NumInc,Shift
6401,100 Block of Hughes Rd,B09-001923,2009-08-17 15:45:00,383,POSS. FORGED INSTRUMENT 2ND,1,II
6402,100 Block of Hughes Rd,B09-001924,2009-08-17 15:45:00,383,POSS. FORGED INSTRUMENT 2ND,1,II
6403,100 Block of Callaway Dr,B09-001925,2009-08-17 17:00:00,383,HARASSING COMMUNICATIONS,1,II
6404,"K`S Beauty Supply, 7837 Highway 72 W",B09-001926,2009-08-17 17:30:00,383,THEFT 3RD DEGREE,1,II
6405,2000 Block of Flagstone Dr,B09-001927,2009-08-17 21:25:00,383,BURGLARY-3RD,2,II
6406,2000 Block of Flagstone Dr,B09-001927,2009-08-17 21:25:00,383,THEFT 2ND DEGREE,2,II
6407,100 Block of Darroby Dr,B09-001929,2009-08-18 01:41:00,383,DOMESTIC VIOLENCE 3RD,1,III
6408,100 Block of Shelton Rd,B09-001930,2009-08-18 07:10:00,383,DUTY UPON STRIKING UNATTENDED VEHICLE,1,I
6409,100 Block of Leathertree Ln,B09-001931,2009-08-18 12:35:00,383,HARASSING   COMMUNICATIONS,1,I
6410,8000 Block of Hwy 72,B09-001932,2009-08-17 22:00:00,383,DUTY TO  STOP  AND REMAIN AT SCENE,1,III
6411,"Holiday Inn, 9035 Madison Blvd",B09-001933,2009-08-18 14:34:00,383,BURGLARY-2ND,2,II
6412,"Holiday Inn, 9035 Madison Blvd",B09-001933,2009-08-18 14:34:00,383,CRIMINAL MISCHIEF-3RD,2,II
6413,100 Block of Primrose Dr,B09-001934,2009-08-18 16:00:00,383,ILLEGAL POSS/USE CREDIT CARD,1,II
6414,300 Block of Greenstone Dr,B09-001936,2009-08-18 16:00:00,383,HARASSING COMMUNICATIONS,1,II
6415,100 Block of Briargate Ln,B09-001937,2009-08-18 17:00:00,383,STALKING,1,II
6416,"State Of Alabama, 11 Hughes Rd",B09-001938,2009-08-18 16:00:00,383,POSS. FORGED INSTRUMENT 2ND,4,II
6417,"State Of Alabama, 11 Hughes Rd",B09-001938,2009-08-18 16:00:00,383,POSS. FORGED INSTRUMENT 2ND,4,II
6418,"State Of Alabama, 11 Hughes Rd",B09-001938,2009-08-18 16:00:00,383,OBSTRUCTING JUSTICE-FALSE IDENTITY,4,II
6419,"State Of Alabama, 11 Hughes Rd",B09-001938,2009-08-18 16:00:00,383,OBSTRUCTING JUSTICE-FALSE IDENTITY,4,II
6420,"Dollar General, 7950 Highway 72 W",B09-001939,2009-08-18 16:30:00,383,THEFT 3RD DEGREE,1,II
6421,area of Hughes Rd / Mill Rd,B09-001940,2009-08-19 09:30:00,383,MENACING,1,I
6422,area of Hughes Rd / Mill Rd,B09-001941,2009-08-19 09:30:00,383,HARASSMENT,1,I
6423,8000 Block of Madison Blvd,B09-001942,2009-08-19 10:31:00,383,THEFT 2ND  DEGREE,1,I
6424,"State Of Alabama, 12070 County Line Rd",B09-001943,2009-08-19 08:20:00,383,POSS. FORGED INSTRUMENT 2ND,1,I
6425,800 Block of Browns Ferry Rd,B09-001945,2009-08-19 15:50:00,383,THEFT 3RD DEGREE,2,II
