id,case_no,time,shift,date,location,type
6692,B13-002101,2:14pm,II,June24,2013, area of Madison Town Center Madison, ROBBERY-3RD-STREET-STRONG ARM
6693,B13-002102,2:35pm,II,June24,2013, 200 Block of Shamrock Dr Madison, HARASSING COMMUNICATIONS
6694,B13-002103,3:39pm,II,June24,2013, 100 Block of Lansdowne Dr, THEFT 2ND DEGREE
6695,B13-002104,6:06pm,II,June24,2013, 200 Block of Kyser Blvd, THEFT 3RD DEGREE
6696,B13-002106,6:20pm,II,June24,2013, 300 Block of Winterhaven Tr, IDENTITY THEFT
6697,B13-002107,7:30pm,II,June24,2013, 100 Block of Honor Way, THEFT 3RD DEGREE
6698,B13-002108,12:20am,III,June25,2013, 100 Block of Willena Dr, DV 3RD-HARASSMENT-FAMILY
6699,B13-002109,1:45am,III,June25,2013, City Of Madison, 7813 Highway 72 W, MAKING FALSE REPORT TO LAW ENFORCEMENT OFFICER
6700,B13-002110,4:10am,III,June25,2013, 100 Block of Willena Dr, DV 3RD-SIMPLE ASSAULT-FAMILY
6701,B13-002111,8:15am,I,June25,2013, Pizza Hut, 8830 Madison Blvd, BURGLARY-3RD
6702,B13-002111,8:15am,I,I, Pizza Hut, 8830 Madison Blvd, CRIMINAL MISCHIEF-3RD
6703,B13-002112,10:20am,I,June25,2013, Timberline Apartments, 4998 Wall Triana Hwy, TRESPASS WARNING
6704,B13-002117,2:30pm,II,June25,2013, 8000 Block of Old Madison Pike Madison, THEFT 3RD DEGREE
6705,B13-002118,2:43pm,II,June25,2013, The Brook, 8573 Highway 72 W, THEFT 1ST DEGREE
6706,B13-002119,3:00pm,II,June25,2013, Target, 8207 Highway 72 W, THEFT 3RD DEGREE
6707,B13-002120,3:14pm,II,June25,2013, 100 Block of Arlington Dr, THEFT 2ND DEGREE
6708,B13-002121,4:10pm,II,June25,2013, 100 Block of Pebble Brook Cir, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6709,B13-002121,4:10pm,II,II, 100 Block of Pebble Brook Cir, THEFT 3RD DEGREE
6710,B13-002122,4:34pm,II,June25,2013, 100 Block of Wesly Clark Blvd, BURGLARY-3RD
6711,B13-002122,4:34pm,II,II, 100 Block of Wesly Clark Blvd, CRIMINAL MISCHIEF-3RD
6712,B13-002123,7:29pm,II,June25,2013, 8000 Block of Madison Blvd Madison, AGGRAVATED ASSAULT 2ND NON FAMILY OTHER WEAPON
6713,B13-002124,8:45pm,II,June25,2013, 4000 Block of Wall Triana Hwy, HARASSMENT
6714,B13-002126,12:45am,III,June26,2013, 7000 Block of Hwy 72 Madison, DUTY TO STOP AND REMAIN AT SCENE
6715,B13-002129,2:24am,III,June26,2013, State Of Alabama, 20 College St Madison, MINIMUM AGE PURCHASE, CONSUME, POSSESS, TRANSPORT ALCOHOL
6716,B13-002130,10:00am,I,June26,2013, Butchers Choice, 220 Production Av Madison, AUTO THEFT-1ST DEGREE
6717,B13-002131,10:39am,I,June26,2013, 2000 Block of Flagstone Dr Madison, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6718,B13-002131,10:39am,I,I, 2000 Block of Flagstone Dr Madison, THEFT 2ND DEGREE
6719,B13-002132,11:34am,I,June26,2013, 100 Block of Murry Dr, RECEIVING STOLEN PROPERTY-3RD
6720,B13-002133,12:15pm,I,June26,2013, 100 Block of Park Square Ln, THEFT 2ND DEGREE
6721,B13-002134,11:55am,I,June26,2013, 100 Block of Forest Pointe Dr, ROBBERY-1ST-RESIDENCE-KNIFE
6722,B13-002136,1:45pm,I,June26,2013, 100 Block of Bressette Ln, IDENTITY THEFT
6723,B13-002137,2:10pm,II,June26,2013, Walmart Super Center #2690, 8650 Madison Blvd, THEFT 3RD DEGREE
6724,B13-002138,2:00pm,II,June26,2013, area of Shelton Rd Area Madison, ASSAULT
6725,B13-002140,2:24pm,II,June26,2013, 200 Block of Celtic Dr, DV 3RD-HARASSMENT-FAMILY
6726,B13-002141,2:45pm,II,June26,2013, area of Wall Triana Hwy Madison, HARASSMENT
6727,B13-002142,2:35pm,II,June26,2013, 600 Block of Larry Dr, UNAUTHORIZED USE OF AUTO
6728,B13-002143,6:21pm,II,June26,2013, 100 Block of Haven Ridge Rd, CRIMINAL MISCHIEF-3RD
6729,B13-002144,7:20pm,II,June26,2013, 100 Block of Shelton Rd Madison, CRIMINAL TRESPASS 3RD
6730,B13-002145,1:11am,III,June26,2013, 8000 Block of Madison Blvd, RECEIVING STOLEN PROPERTY-3RD
6731,B13-002146,11:28pm,III,June26,2013, 900 Block of Hughes Rd Madison, THEFT 3RD DEGREE
6732,B13-002147,7:22am,I,June27,2013, 400 Block of Gilmore St, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6733,B13-002148,7:10am,I,June27,2013, 400 Block of Gilmore St, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6734,B13-002149,7:10am,I,June27,2013, 400 Block of Gilmore St, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6735,B13-002150,7:22am,I,June27,2013, 400 Block of Gilmore St, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6736,B13-002150,7:22am,I,I, 400 Block of Gilmore St, THEFT 3RD DEGREE
6737,B13-002152,9:30am,I,June27,2013, City Of Madison, 340 Gillespie Rd Madison, ANIMAL CRUELTY
6738,B13-002152,9:30am,I,I, City Of Madison, 340 Gillespie Rd Madison, FAIL TO REGISTER/OBTAIN LICENSE FOR ANIMAL
6739,B13-002153,10:00am,I,June27,2013, 100 Block of Portal Ln, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6740,B13-002154,10:50am,I,June27,2013, 100 Block of Bridgeway Ln, CRIMINAL MISCHIEF-3RD
6741,B13-002155,11:40am,I,June27,2013, Radisson Hotels, 8721 Madison Blvd, THEFT 2ND DEGREE
6742,B13-002156,11:50am,I,June27,2013, 5000 Block of Wall Triana Hwy, DV 3RD-SIMPLE ASSAULT-FAMILY
6743,B13-002158,1:47pm,I,June27,2013, 200 Block of Kyser Blvd, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6744,B13-002158,1:47pm,I,I, 200 Block of Kyser Blvd, THEFT 3RD DEGREE
6745,B13-002159,2:30pm,II,June27,2013, 200 Block of Kyser Blvd, DV 3RD-SIMPLE ASSAULT-FAMILY
6746,B13-002160,2:30pm,II,June27,2013, 400 Block of Highland Dr, BURGLARY-3RD
6747,B13-002160,2:30pm,II,II, 400 Block of Highland Dr, THEFT 2ND DEGREE
6748,B13-002161,3:40pm,II,June27,2013, 600 Block of Clift Dr, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6749,B13-002161,3:40pm,II,II, 600 Block of Clift Dr, THEFT 3RD DEGREE
6750,B13-002162,3:09pm,II,June27,2013, 8000 Block of Madison Blvd, CRIMINAL MISCHIEF-2ND
6751,B13-002164,10:00pm,III,June27,2013, City Of Madison, 8650 Madison Blvd, DISORDERLY CONDUCT
6752,B13-002165,5:08pm,II,June27,2013, 100 Block of Brazelton Cir, THEFT 3RD DEGREE
6753,B13-002169,11:04pm,III,June27,2013, 100 Block of Mill Creek Crossing, DV 3RD-HARASSMENT-FAMILY
6754,B09-000077,1:00am,III,January11,2009, 2000 Block of Flagstone Dr, IDENTITY THEFT 1ST DEGREE
6755,B09-000080,2:30am,III,January11,2009, 3000 Block of Sullivan St / Royal Dr, SIMPLE ASSAULT
6756,B09-000082,11:25am,I,January11,2009, 100 Block of Plaza Blvd, THEFT OF LOST PROPERTY-3RD
6757,B09-000083,1:46pm,I,January11,2009, 100 Block of Alderwood Dr, DOMESTIC VIOLENCE 3RD
6758,B09-000084,3:20pm,II,January11,2009, 8000 Block of Old Madison Pike, HARASSMENT
6759,B09-000085,5:19pm,II,January11,2009, Burke Outlet, 8760 Madison Blvd, THEFT 3RD DEGREE
6760,B09-000086,9:30pm,II,January11,2009, 200 Block of Kyser Blvd, CHILD ABUSE
6761,B09-000087,10:29pm,III,January11,2009, 8000 Block of Madison Blvd, CRIMINAL MISCHIEF-3RD
6762,B09-000088,2:54am,III,January12,2009, State Of Alabama, 8002 Highway 72 W, RECEIVING STOLEN PROPERTY-2ND
6763,B09-000089,9:25am,I,January12,2009, Burke Outlet, 8760 Madison Blvd,   THEFT 1ST DEGREE
6764,B09-000089,9:25am,I,I, Burke Outlet, 8760 Madison Blvd,   BURGLARY-3RD
6765,B09-000090,11:30am,I,January12,2009, 100 Block of Wildweed Ct, THEFT 2ND DEGREE
6766,B09-000091,1:30pm,I,January12,2009, 100 Block of Kyser Blvd, HARASSING COMMUNICATIONS
6767,B09-000092,3:30pm,II,January12,2009, 100 Block of Michael Av, VIOLATION OF PROTECTION OR RESTRAINING ORDER
6768,B09-000093,2:55pm,II,January12,2009, Holiday Inn, 9035 Madison Blvd,   THEFT 2ND DEGREE
6769,B09-000093,2:55pm,II,II, Holiday Inn, 9035 Madison Blvd,   BURGLARY-3RD
6770,B09-000094,2:55pm,II,January12,2009, Holiday Inn, 9035 Madison Blvd, BURGLARY-3RD
6771,B09-000096,7:20pm,II,January12,2009, 300 Block of Lena Cain Blvd, HARASSMENT
6772,B09-000097,7:05pm,II,January12,2009, 100 Block of Michael Av, VIOLATION OF PROTECTION OR RESTRAINING ORDER
6773,B09-000098,10:45am,I,January13,2009, Rbc Centura Bank, 7930 Highway 72 W,   POSS. FORGED INSTRUMENT 2ND
6774,B09-000098,10:45am,I,I, Rbc Centura Bank, 7930 Highway 72 W,   THEFT 1ST DEGREE
6775,B09-000099,10:37am,I,January13,2009, Rivervalley Waste Llc, 103 Commerce Cir, THEFT 1ST DEGREE
6776,B09-000101,5:50pm,II,January13,2009, 3000 Block of Flag Cir,   BURGLARY-3RD
6777,B09-000101,5:50pm,II,II, 3000 Block of Flag Cir,   THEFT 3RD DEGREE
6778,B09-000102,6:40pm,II,January13,2009, 200 Block of Lanier Rd, HARASSMENT
6779,B09-000103,8:00pm,II,January13,2009, 100 Block of Michael Av,   BREAKING AND ENTERING A VEHICLE
6780,B09-000103,8:00pm,II,II, 100 Block of Michael Av,   THEFT 2ND DEGREE
6781,B09-000104,4:50am,III,January14,2009, Waffle House 581, 8979 Madison Blvd, THEFT OF SERVICES-3
6782,B09-000107,10:50am,I,January14,2009, 3000 Block of Sullivan St, ILLEGAL POSS/USE CREDIT CARD
6783,B09-000108,12:00pm,I,January14,2009, 400 Block of Barrington Hills Dr, THEFT 3RD DEGREE
6784,B09-000109,12:45pm,I,January14,2009, 100 Block of Sonoma Cir, THEFT 2ND DEGREE
6785,B09-000110,1:30pm,I,January14,2009, 100 Block of Hughes Rd, THEFT 2ND DEGREE
6786,B09-000111,1:35pm,I,January14,2009, 100 Block of Royal Dr, DOMESTIC VIOLENCE 3RD
6787,B09-000112,3:30pm,II,January14,2009, 1000 Block of Browns Ferry Rd, SIMPLE ASSAULT
6788,B09-000113,5:03pm,II,January14,2009, 100 Block of Radisson Ln,   BURGLARY-3RD
6789,B09-000113,5:03pm,II,II, 100 Block of Radisson Ln,   CRIMINAL MISCHIEF-3RD
6790,B09-000114,9:15pm,II,January14,2009, 200 Block of Monte Vista Dr, DOMESTIC VIOLENCE 3RD
6791,B09-000115,11:45am,I,January15,2009, 300 Block of Cork Aly, THEFT 2ND DEGREE
6792,B09-000118,1:20pm,I,January15,2009, 100 Block of Hughes Rd, IDENTITY THEFT 1ST DEGREE
6793,B09-000119,4:45pm,II,January15,2009, 200 Block of Kyser Blvd, IDENTITY THEFT 1ST DEGREE
6794,B09-000120,7:05pm,II,January15,2009, 100 Block of Kelvingrove Dr, THEFT 3RD DEGREE
6795,B09-000121,7:11pm,II,January15,2009, 600 Block of Hughes Rd, THEFT 3RD DEGREE
6796,B09-000122,8:00pm,II,January15,2009, 100 Block of Spring Water Dr,   BURGLARY-3RD
6797,B09-000122,8:00pm,II,II, 100 Block of Spring Water Dr,   THEFT 1ST DEGREE
6798,B09-000123,8:45pm,II,January15,2009, 900 Block of Ashwood Dr, BURGLARY-3RD
6799,B09-000124,10:50pm,III,January15,2009, 8000 Block of Madison Blvd, DOMESTIC VIOLENCE 3RD
6800,B09-000126,10:54pm,III,January15,2009, 100 Block of Mcadoo Dr, DOMESTIC VIOLENCE 3RD
6801,B09-000127,10:50pm,III,January15,2009, 8000 Block of Madison Blvd, CRIMINAL MISCHIEF-2ND
6802,B09-000128,10:25pm,III,January15,2009, 8000 Block of Madison Blvd, CRIMINAL MISCHIEF-3RD
6803,B09-000129,2:20am,III,January16,2009, 100 Block of Shelton Rd, DOMESTIC VIOLENCE 3RD
6804,B09-000130,6:33am,I,January16,2009, 100 Block of Royal Dr, CRIMINAL MISCHIEF-3RD
6805,B09-000132,11:05am,I,January16,2009, 100 Block of Brockton Dr, IDENTITY THEFT 1ST DEGREE
6806,B09-000135,5:00pm,II,January16,2009, 600 Block of Hughes Rd, THEFT 3RD DEGREE
6807,B09-000137,5:23pm,II,January16,2009, 100 Block of Hughes Rd, HARASSING COMMUNICATIONS
6808,B09-000139,9:15pm,II,January16,2009, Buds Convenience Store, 101 Kyser Blvd, CRIMINAL MISCHIEF-3RD
6809,B09-000140,9:15pm,II,January16,2009, 100 Block of Kyser Blvd, HARASSMENT
6810,B09-000142,11:11am,I,January17,2009, 8000 Block of Old Madison Pike, HARASSMENT
6811,B09-000143,12:30pm,I,January17,2009, 100 Block of Medicine Bend Ct, CRIMINAL MISCHIEF-3RD
6812,B09-000145,4:35pm,II,January17,2009, 100 Block of Medicine Bend Dr, CRIMINAL MISCHIEF-2ND
6813,B09-000147,10:39pm,III,January17,2009, 1000 Block of Hughes Rd, SIMPLE ASSAULT
6814,B13-002184,7:20am,I,June29,2013, 100 Block of Belle Ridge Dr, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6815,B13-002185,7:50am,I,June29,2013, 100 Block of Belle Ridge Dr, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6816,B13-002185,7:50am,I,I, 100 Block of Belle Ridge Dr, THEFT 3RD DEGREE
6817,B13-002186,8:15am,I,June29,2013, Five Points Cleaners, 8020 Highway 72 W, BURGLARY-3RD
6818,B13-002186,8:15am,I,I, Five Points Cleaners, 8020 Highway 72 W, THEFT 3RD DEGREE
6819,B13-002190,9:24pm,II,June29,2013, 500 Block of Eastview Dr, CRIMINAL MISCHIEF-3RD
6820,B13-002191,2:36pm,II,June30,2013, 100 Block of Watterson Way Madison, THEFT 3RD DEGREE
6821,B13-002192,3:45pm,II,June30,2013, 200 Block of Kyser Blvd, HARASSING COMMUNICATIONS
6822,B13-002193,3:55pm,II,June30,2013, City Of Madison, 7814 Highway 72 W, CIRCULATING EMITTED MONEY
6823,B13-002194,3:34pm,II,June30,2013, 100 Block of Conger Rd, DEATH INVESTIGATION
6824,B13-002195,6:23pm,II,June30,2013, Dominos Pizza, 2027 Flagstone Dr Madison, CIRCULATING EMITTED MONEY
6825,B13-002196,7:45pm,II,June30,2013, Big A, 9116 Madison Blvd, THEFT 3RD DEGREE
6826,B13-002201,9:00am,I,July01,2013, Madison Haven, 101 Abby Ln Madison, CRIMINAL MISCHIEF-3RD
6827,B13-002202,9:40am,I,July01,2013, 8000 Block of Madison Blvd, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6828,B13-002202,9:40am,I,I, 8000 Block of Madison Blvd, THEFT 2ND DEGREE
6829,B13-002203,11:44am,I,July01,2013, 3000 Block of Flag Cir Madison, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6830,B13-002203,11:44am,I,I, 3000 Block of Flag Cir Madison, THEFT 3RD DEGREE
6831,B13-002204,3:08pm,II,July01,2013, 100 Block of Arborwood Dr, THEFT 3RD DEGREE
6832,B13-002204,3:08pm,II,II, 100 Block of Arborwood Dr, CRIMINAL TRESPASS 3RD
6833,B13-002205,4:30pm,II,July01,2013, 100 Block of Royal Dr Madison, THEFT 2ND DEGREE
6834,B13-002206,5:13pm,II,July01,2013, 200 Block of Hughes Rd Madison, THEFT OF LOST PROPERTY-3RD
6835,B13-002207,7:27pm,II,July01,2013, St John Baptist Catholic Church, 1055 Hughes Rd, THEFT 3RD DEGREE
6836,B13-002207,7:27pm,II,II, St John Baptist Catholic Church, 1055 Hughes Rd, CRIMINAL MISCHIEF-3RD
6837,B13-002208,8:41pm,II,July01,2013, 100 Block of Jodi Dr Madison, DV 3RD-HARASSMENT-FAMILY
6838,B13-002210,5:30am,III,July02,2013, 900 Block of Portal Ln, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6839,B13-002210,5:30am,III,III, 900 Block of Portal Ln, THEFT 2ND DEGREE
6840,B13-002211,5:50am,III,July02,2013, 100 Block of Portal Ln, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6841,B13-002211,5:50am,III,III, 100 Block of Portal Ln, THEFT 2ND DEGREE
6842,B13-002212,6:00am,I,July02,2013, 100 Block of Portal Ln, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6843,B13-002215,7:20am,I,July02,2013, 600 Block of Crestview Dr, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6844,B13-002215,7:20am,I,I, 600 Block of Crestview Dr, THEFT 3RD DEGREE
6845,B13-002216,8:30am,I,July02,2013, 100 Block of Wingfield Dr, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6846,B13-002216,8:30am,I,I, 100 Block of Wingfield Dr, THEFT 3RD DEGREE
6847,B13-002217,9:15am,I,July02,2013, 100 Block of Wingfield Dr, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6848,B13-002217,9:15am,I,I, 100 Block of Wingfield Dr, THEFT 3RD DEGREE
6849,B13-002218,9:10am,I,July02,2013, 600 Block of Crestview Dr, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6850,B13-002218,9:10am,I,I, 600 Block of Crestview Dr, THEFT 2ND DEGREE
6851,B13-002221,10:30am,I,July02,2013, 100 Block of Shelton Rd Madison, HARASSING COMMUNICATIONS
6852,B13-002222,12:00pm,I,July02,2013, 8000 Block of Madison Blvd, ILLEGAL POSS/USE CREDIT CARD
6853,B13-002223,12:10pm,I,July02,2013, 100 Block of Gilbert Ln, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6854,B13-002223,12:10pm,I,I, 100 Block of Gilbert Ln, THEFT 3RD DEGREE
6855,B13-002224,12:23pm,I,July02,2013, 100 Block of Athens Blvd, THEFT 1ST DEGREE
6856,B13-002225,12:31pm,I,July02,2013, 500 Block of Brenda Dr, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6857,B13-002225,12:31pm,I,I, 500 Block of Brenda Dr, THEFT 3RD DEGREE
6858,B13-002226,12:23pm,I,July02,2013, 700 Block of Seina Vista Dr, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6859,B13-002227,1:57pm,I,July02,2013, City Of Madison, 8760 Madison Blvd, CRUELTY TO ANIMALS
6860,B13-002228,3:08pm,II,July02,2013, Ross Dress For Less, Inc #1578, 8213 Highway 72 W, THEFT 3RD DEGREE
6861,B13-002229,5:47pm,II,July02,2013, 8000 Block of Madison Blvd, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6862,B13-002229,5:47pm,II,II, 8000 Block of Madison Blvd, THEFT 2ND DEGREE
6863,B13-002230,5:47pm,II,July02,2013, 8000 Block of Madison Blvd, THEFT 3RD DEGREE
6864,B13-002231,6:10pm,II,July02,2013, 200 Block of Water Hill Rd Madison, BURGLARY-3RD
6865,B13-002231,6:10pm,II,II, 200 Block of Water Hill Rd Madison, THEFT 2ND DEGREE
6866,B13-002232,6:15pm,II,July02,2013, 900 Block of Hughes Rd Madison, CHILD ABUSE
6867,B13-002233,7:00pm,II,July02,2013, 7000 Block of Old Madison Pike, HARASSMENT
6868,B13-002234,6:53pm,II,July02,2013, 7000 Block of Old Madison Pike, DV 3RD-HARASSMENT-FAMILY
6869,B13-002236,8:27pm,II,July02,2013, State Of Alabama, Shelton Rd / Water Hill Rd, VERIFICATION OF CITIZENSHIP IMMIGRATION
6870,B13-002238,2:54am,III,July03,2013, State Of Alabama, E I565 / Wall Triana Hwy, VERIFICATION OF CITIZENSHIP IMMIGRATION
6871,B13-002240,8:00am,I,July03,2013, 100 Block of Ambergate Dr, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6872,B13-002240,8:00am,I,I, 100 Block of Ambergate Dr, THEFT 2ND DEGREE
6873,B13-002241,2:50pm,II,July03,2013, 100 Block of Royal Dr Madison, BURGLARY-3RD
6874,B13-002241,2:50pm,II,II, 100 Block of Royal Dr Madison, THEFT 1ST DEGREE
6875,B13-002242,4:51pm,II,July03,2013, 3000 Block of Sullivan St Madison, ILLEGAL POSS/USE CREDIT CARD
6876,B13-002243,4:51pm,II,July03,2013, Head To Toe Training, 8006 Old Madison Pike Madison Madison, THEFT 2ND DEGREE
6877,B13-002244,6:36pm,II,July03,2013, 100 Block of Old Provence Pl, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6878,B13-002244,6:36pm,II,II, 100 Block of Old Provence Pl, THEFT 3RD DEGREE
6879,B13-002245,9:44pm,II,July03,2013, 7000 Block of Madison Blvd, AUTO THEFT-1ST DEGREE
6880,B13-002248,11:56pm,III,July03,2013, 300 Block of Gillespie Rd Madison,   BURGLARY-3RD
6881,B13-002248,11:56pm,III,III, 300 Block of Gillespie Rd Madison,   BURGLARY-3RD
6882,B13-002248,11:56pm,III,III, 300 Block of Gillespie Rd Madison,   THEFT 3RD DEGREE
6883,B13-002248,11:56pm,III,III, 300 Block of Gillespie Rd Madison,   THEFT 3RD DEGREE
6884,B13-002249,12:39am,III,July04,2013, 9000 Block of Madison Blvd, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6885,B13-002249,12:39am,III,III, 9000 Block of Madison Blvd, THEFT 2ND DEGREE
6886,B13-002250,1:55am,III,July04,2013, 100 Block of Meghan Ln, CRIMINAL MISCHIEF-2ND
6887,B13-002252,11:54am,I,July04,2013, Walmart Super Center #2690, 8650 Madison Blvd, THEFT 3RD DEGREE
6888,B13-002253,12:46pm,I,July04,2013, 200 Block of Gaston Dr, DV 3RD-CRIMINAL MISCHIEF 3RD
6889,B13-002254,12:05pm,I,July04,2013, City Of Madison, 8650 Madison Blvd, GIVING FALSE NAME OR ADDRESS TO LAW ENFORCEMENT OFFICER
6890,B13-002255,1:23pm,I,July04,2013, 100 Block of Thomas Dr, THEFT 2ND DEGREE
6891,B13-002256,1:21am,III,July05,2013, 100 Block of Landsdowne Dr Madison, DV 3RD-HARASSMENT-FAMILY
6892,B13-002265,8:00am,I,July06,2013, 100 Block of Royal Dr Madison, DV 3RD-HARASSMENT-FAMILY
6893,B13-002266,10:50am,I,July06,2013, 100 Block of Horseshoe Bend S Madison, HARASSING COMMUNICATIONS
6894,B13-002268,2:13pm,II,July06,2013, 300 Block of Shelton Rd Madison, DOMESTIC VIOLENCE BY STRANGULATION OR SUFFOCATION INJURY
6895,B13-002268,2:13pm,II,II, 300 Block of Shelton Rd Madison, DV 3RD-SIMPLE ASSAULT-FAMILY
6896,B13-002269,2:13pm,II,July06,2013, 300 Block of Shelton Rd Madison, DOMESTIC VIOLENCE BY STRANGULATION OR SUFFOCATION INJURY
6897,B13-002269,2:13pm,II,II, 300 Block of Shelton Rd Madison, DV 3RD-SIMPLE ASSAULT-FAMILY
6898,B13-002270,3:21pm,II,July06,2013, 100 Block of Shelton Rd Madison, CHILD ABUSE
6899,B13-002271,6:47pm,II,July06,2013, 2000 Block of Flagstone Dr Madison, DV 3RD-SIMPLE ASSAULT-FAMILY
6900,B13-002274,10:39pm,III,July06,2013, 100 Block of Napa Valley Way, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6901,B13-002275,10:39pm,III,July06,2013, 100 Block of Napa Valley Way, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6902,B13-002276,10:39pm,III,July06,2013, 100 Block of Napa Valley Way, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6903,B13-002276,10:39pm,III,III, 100 Block of Napa Valley Way, THEFT 3RD DEGREE
6904,B13-002278,2:35am,III,July07,2013, 1000 Block of Nolan Blvd, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6905,B13-002278,2:35am,III,III, 1000 Block of Nolan Blvd, THEFT 3RD DEGREE
6906,B13-002279,2:55am,III,July07,2013, 100 Block of Inwood Trl Madison, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6907,B13-002279,2:55am,III,III, 100 Block of Inwood Trl Madison, THEFT 3RD DEGREE
6908,B13-002280,9:27am,I,July07,2013, 100 Block of Inwood Trl Madison, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6909,B13-002280,9:27am,I,I, 100 Block of Inwood Trl Madison, THEFT 3RD DEGREE
6910,B13-002281,12:40pm,I,July07,2013, 200 Block of Pine Ridge Rd, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6911,B13-002283,12:50pm,I,July07,2013, Walmart Super Center #2690, 8650 Madison Blvd, THEFT 2ND DEGREE
6912,B13-002284,1:56pm,I,July07,2013, 100 Block of Evalyn St, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6913,B13-002284,1:56pm,I,I, 100 Block of Evalyn St, THEFT 2ND DEGREE
6914,B13-002286,3:22pm,II,July07,2013, 1000 Block of Hughes Rd, THEFT 2ND DEGREE
6915,B13-002286,3:22pm,II,II, 1000 Block of Hughes Rd, ILLEGAL POSS/USE CREDIT CARD
6916,B13-002287,6:27pm,II,July07,2013, 8000 Block of Madison Blvd, HARASSMENT
6917,B13-002289,7:42pm,II,July07,2013, 100 Block of W Dublin Dr, THEFT 3RD DEGREE
6918,B13-002290,9:45pm,II,July07,2013, 100 Block of Allen St, BURGLARY-3RD
6919,B13-002291,9:09pm,II,July07,2013, 100 Block of Allen St, BURGLARY-3RD
6920,B13-002291,9:09pm,II,II, 100 Block of Allen St, THEFT 3RD DEGREE
6921,B13-002293,10:23pm,III,July07,2013, 300 Block of Mill Rd, DV 3RD-HARASSING COMMUNICATIONS
6922,B13-002294,10:43pm,III,July07,2013, City Of Madison, Callaway Dr / Highpoint St, RECEIVING STOLEN PROPERTY-1ST
6923,B13-002294,10:43pm,III,III, City Of Madison, Callaway Dr / Highpoint St, ATTEMPTING TO FLEE OR ELUDE POLICE OFFICER
6924,B13-002295,12:33am,III,July08,2013, State Of Alabama, 245 Hughes Rd, OBSTRUCTING JUSTICE-FALSE IDENTITY
6925,B13-002296,6:00am,I,July08,2013, 8000 Block of Madison Blvd Madison Madison, DUTY TO STOP AND REMAIN AT SCENE
6926,B13-002297,8:00am,I,July08,2013, 200 Block of Andra St, CRIMINAL MISCHIEF-3RD
6927,B13-002298,8:30am,I,July08,2013, 200 Block of Golden Rod Ln, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6928,B13-002298,8:30am,I,I, 200 Block of Golden Rod Ln, THEFT 2ND DEGREE
6929,B13-002299,9:30am,I,July08,2013, 100 Block of Angela Dr, THEFT 2ND DEGREE
6930,B13-002300,9:27am,I,July08,2013, State Of Alabama, 522 Brenda Dr, VERIFICATION OF CITIZENSHIP IMMIGRATION
6931,B13-002301,11:20am,I,July08,2013, 100 Block of Ambergate Dr, THEFT 3RD DEGREE
6932,B13-002301,11:20am,I,I, 100 Block of Ambergate Dr, UNLAWFUL BREAKING AND ENTERING A VEHICLE
6933,B13-002303,1:54pm,I,July08,2013, 100 Block of Whitehall Dr Madison, BURGLARY-3RD
6934,B13-002303,1:54pm,I,I, 100 Block of Whitehall Dr Madison, THEFT 1ST DEGREE
6935,B13-002304,2:04pm,II,July08,2013, 100 Block of Grayson Ave Madison, OTHER
6936,B13-002305,2:33pm,II,July08,2013, Kroger Co, 300 Hughes Rd, THEFT 2ND DEGREE
6937,B13-002307,4:30pm,II,July08,2013, 100 Block of Jackson Av, CRIMINAL MISCHIEF-3RD
6938,B13-002307,4:30pm,II,II, 100 Block of Jackson Av, CRIMINAL TRESPASS
