id,case_no,time,shift,date,location,type
141,B11-000893,8:35pm,II,April11,2011, 500 Block of Brenda Dr Madison, BREAKING AND ENTERING A VEHICLE
142,B11-000894,10:00pm,III,April11,2011, 900 Block of Bridgefield Rd, UNLAWFUL BREAKING AND ENTERING A VEHICLE
143,B11-000894,10:00pm,III,III, 900 Block of Bridgefield Rd, THEFT 3RD DEGREE
144,B11-000895,8:35pm,II,April11,2011, 7000 Block of Hwy 72 Madison, ILLEGAL POSS/USE CREDIT CARD
145,B11-000896,10:15pm,III,April11,2011, 900 Block of Bridgefield Rd, UNLAWFUL BREAKING AND ENTERING A VEHICLE
146,B11-000896,10:15pm,III,III, 900 Block of Bridgefield Rd, THEFT 3RD DEGREE
147,B11-000897,10:03pm,III,April11,2011, 9000 Block of Madison Blvd, BREAKING AND ENTERING A VEHICLE
148,B11-000898,9:17am,I,April12,2011, Minitman, 8002 Highway 72 W, THEFT 3RD DEGREE
149,B11-000900,4:15pm,II,April12,2011, 600 Block of Hughes Rd, CRIMINAL MISCHIEF-3RD
150,B11-000903,12:50pm,I,April13,2011, 100 Block of Abby Ln Madison, CRIMINAL MISCHIEF-3RD
151,B11-000904,3:00pm,II,April13,2011, 3000 Block of Flagstone Dr, BURGLARY-3RD
152,B11-000904,3:00pm,II,II, 3000 Block of Flagstone Dr, THEFT 2ND DEGREE
153,B11-000905,5:18pm,II,April13,2011, 100 Block of Oakhurst Dr, BURGLARY-3RD
154,B11-000905,5:18pm,II,II, 100 Block of Oakhurst Dr, THEFT 3RD DEGREE
155,B11-000906,5:13pm,II,April14,2011, 8000 Block of Madison Blvd, DUTY UPON STRIKING UNATTENDED VEHICLE
156,B11-000907,5:55pm,II,April13,2011, 100 Block of Intracoastal Dr, DOMESTIC VIOLENCE 3RD
157,B11-000908,7:25pm,II,April13,2011, 200 Block of Sunset Cir W, HARASSING COMMUNICATIONS
158,B11-000910,10:48pm,III,April13,2011, 100 Block of Angela Dr, DOMESTIC VIOLENCE 3RD
159,B11-000912,1:01am,III,April14,2011, 100 Block of Bibb Dr, DOMESTIC VIOLENCE 3RD
160,B11-000913,7:09am,I,April14,2011, 100 Block of Nikki Ln, BREAKING AND ENTERING A VEHICLE
161,B11-000914,8:26am,I,April14,2011, 100 Block of Dartford Dr, BREAKING AND ENTERING A VEHICLE
162,B11-000916,4:15pm,II,April14,2011, Regions Bank, 7990 Highway 72 W, FORGERY 2ND
163,B11-000918,7:57pm,II,April14,2011, 100 Block of Michael Av, DOMESTIC VIOLENCE 3RD
164,B11-000919,9:05pm,II,April14,2011, 300 Block of Gillespie Rd, BURGLARY-3RD
165,B11-000919,9:05pm,II,II, 300 Block of Gillespie Rd, THEFT 2ND DEGREE
166,B11-000923,9:15am,I,April15,2011, 100 Block of Champions Green Ct, DOMESTIC VIOLENCE 3RD
167,B11-000924,8:45am,I,April15,2011, 1000 Block of Hughes Rd, HARASSMENT
168,B11-000927,1:51pm,I,April15,2011, Publix Pharmacy, 8000 Madison Blvd Madison, THEFT 2ND DEGREE
169,B11-000928,2:20pm,II,April15,2011, 8000 Block of Madison Blvd Madison, ILLEGAL POSS/USE CREDIT CARD
170,B11-000929,2:20pm,II,April15,2011, 8000 Block of Madison Blvd, ILLEGAL POSS/USE CREDIT CARD
171,B11-000930,3:03pm,II,April15,2011, 7000 Block of Highway 72 W, AUTO THEFT-1ST DEGREE
172,B11-000932,11:30pm,III,April15,2011, 100 Block of Paul Revere Dr, CRIMINAL TRESPASS
173,B11-000935,1:30am,III,April16,2011, 100 Block of Carriage Hill, DOMESTIC VIOLENCE 3RD
174,B11-000936,7:10am,I,April16,2011, 100 Block of Michli Rd, DOMESTIC VIOLENCE 2ND
175,B11-000937,7:54am,I,April16,2011, 100 Block of Michli Rd, BURGLARY-2ND
176,B11-000938,10:20am,I,April16,2011, 100 Block of Kim Cir, BREAKING AND ENTERING A VEHICLE
177,B11-000939,11:20am,I,April16,2011, 100 Block of Long Creek Dr, BREAKING AND ENTERING A VEHICLE
178,B11-000941,5:55pm,II,April16,2011, Great Clips, 8498 Madison Blvd Madison, THEFT 3RD DEGREE
179,B11-000942,5:55pm,II,April16,2011, 8000 Block of Madison Blvd, THEFT 3RD DEGREE
