id%case_no%time%shift%date%location%latitude%longitude%incident_type
57%B11-000797%3:20am%III%April03,2011%Babies, Etc. Ob/Gyn Pc, 235 Portal Ln Madison AL%34.698756%-86.738486%DUTY UPON STRIKING A FIXED OBJECT
58%B11-000798%7:30am%I%April03,2011%Greenway Homes, 116 Grand Vista Dr Madison AL%34.7488103%-86.7287386%CRIMINAL MISCHIEF-2ND
59%B11-000799%8:25am%I%April03,2011%200 Block of Goldenrod Ln Madison AL%34.6968147%-86.7334013%UNAUTHORIZED USE OF AUTO
60%B11-000800%10:50am%I%April03,2011%100 Block of Lewis Ln Madison AL%34.68849%-86.751153%BURGLARY-3RD
61%B11-000800%10:50am%I%April03,2011%100 Block of Lewis Ln Madison AL%34.68849%-86.751153%THEFT 2ND DEGREE
62%B11-000801%1:23pm%I%April03,2011%100 Block of Arabian Dr Madison AL%34.750523%-86.7524789%CRIMINAL MISCHIEF-3RD
63%B11-000804%7:35pm%II%April03,2011%300 Block of Hughes Road Madison Madison AL%34.707823%-86.743411%COLLISION WITH UNATTENDED VEHICLE
64%B11-000805%10:14pm%III%April03,2011%100 Block of Westminister Way Madison AL%34.699791%-86.752706%THEFT 2ND DEGREE
65%B11-000806%9:09am%I%April04,2011%500 Block of Eastview Dr Madison AL%34.7205911%-86.7261532%BREAKING AND ENTERING A VEHICLE
66%B11-000807%10:50am%I%April04,2011%Bandito Burrito, 208 Main St Madison AL%34.6932973%-86.7485148%CRIMINAL MISCHIEF-3RD
67%B11-000808%12:58pm%I%April04,2011%300 Block of Gooch Ln Madison AL%34.7480027%-86.7490472%HARASSING COMMUNICATIONS
68%B11-000809%1:00pm%I%April04,2011%9000 Block of Madison Blvd Madison AL%34.6810361%-86.7406046%ROBBERY-1ST-BUSINESS-OTHER WEAPON
69%B11-000810%4:00pm%II%April04,2011%Dollar General, 7950 Highway 72 W Madison Madison AL%34.6992579%-86.7483318%THEFT 3RD DEGREE
70%B11-000811%7:00pm%II%April04,2011%100 Block of Lake Crest Cir Madison AL%34.7364963%-86.7443546%HARASSMENT
71%B11-000811%7:00pm%II%April04,2011%100 Block of Lake Crest Cir Madison AL%34.7364963%-86.7443546%CRIMINAL TRESPASS 3RD
72%B11-000812%7:00pm%II%April04,2011%100 Block of Melody Ln Madison AL%34.7255506%-86.7178729%BURGLARY-3RD
73%B11-000812%7:00pm%II%April04,2011%100 Block of Melody Ln Madison AL%34.7255506%-86.7178729%THEFT 1ST DEGREE
74%B11-000815%11:06pm%III%April04,2011%3000 Block of Sullivan St Madison AL%34.69163%-86.751396%DOMESTIC VIOLENCE 3RD
75%B11-000818%2:25pm%II%April05,2011%Corner Stone Tile, 9580 Madison Blvd Ste 7 Madison Madison AL%34.669178%-86.772104%ILLEGAL POSS/USE CREDIT CARD
76%B11-000819%7:13pm%II%April05,2011%600 Block of Cambridge Dr Madison AL%34.7065261%-86.7343138%HARASSING COMMUNICATIONS
77%B11-000821%10:20pm%III%April05,2011%100 Block of Park Square Ln Madison AL%34.694248%-86.734035%UNLAWFUL BREAKING AND ENTERING A VEHICLE
78%B11-000824%8:30am%I%April06,2011%200 Block of Dock Murphy Dr Madison AL%34.7326269%-86.7834033%HARASSMENT
79%B11-000826%11:19am%I%April06,2011%100 Block of Abby Ln Madison Madison AL%34.722718%-86.750686%BURGLARY-3RD
80%B11-000826%11:19am%I%April06,2011%100 Block of Abby Ln Madison Madison AL%34.722718%-86.750686%CRIMINAL MISCHIEF-1ST
81%B11-000826%11:19am%I%April06,2011%100 Block of Abby Ln Madison Madison AL%34.722718%-86.750686%THEFT 3RD DEGREE
82%B11-000828%12:50pm%I%April06,2011%3000 Block of Wall Triana Hwy Madison AL%34.6544455%-86.7580104%HARASSING COMMUNICATIONS
83%B11-000829%1:30pm%I%April06,2011%100 Block of Dartford Dr Madison AL%34.6862004%-86.7910719%THEFT 3RD DEGREE
84%B11-000830%2:45pm%II%April06,2011%Halsey Food Service, 401 Lanier Rd Madison AL%34.6924619%-86.7398491%THEFT 2ND DEGREE
85%B11-000831%3:00pm%II%April06,2011%8000 Block of Madison Blvd Madison AL%34.6916999%-86.7183959%HARASSING COMMUNICATIONS
86%B11-000832%5:11pm%II%April06,2011%600 Block of Hughes Rd Madison AL%34.7185872%-86.7417194%THEFT 3RD DEGREE
87%B11-000834%7:20pm%II%April06,2011%100 Block of St Anne Rd Madison AL%34.711186%-86.76045%IDENTITY THEFT
88%B11-000835%7:45pm%II%April06,2011%100 Block of Angela Dr Madison Madison AL%34.728787%-86.753857%DOMESTIC VIOLENCE 3RD
89%B11-000836%8:15pm%II%April06,2011%100 Block of Joe Phillips Rd Madison Madison AL%34.73672%-86.785831%DOMESTIC VIOLENCE 3RD
90%B11-000837%10:09pm%III%April06,2011%300 Block of Gillespie Rd Madison Madison AL%34.7287606%-86.7502008%CRIMINAL MISCHIEF-3RD
91%B11-000837%10:09pm%III%April06,2011%300 Block of Gillespie Rd Madison Madison AL%34.7287606%-86.7502008%BURGLARY-3RD
92%B11-000838%10:00am%I%April07,2011%State Of Alabama, 323 Autumn Lane Madison Madison AL%34.697448%-86.720832%VIOLATION OF COMMUNITY NOTIFICATION ACT
93%B11-000839%10:00am%I%April07,2011%300 Block of Church St Madison Madison AL%34.697048%-86.747956%CRIMINAL MISCHIEF-2ND
94%B11-000840%11:00am%I%April07,2011%100 Block of Conservancy Drive Madison Madison AL%34.7185901%-86.7751869%HARASSING COMMUNICATIONS
95%B11-000841%10:52am%I%April07,2011%8000 Block of Madison Blvd Madison AL%34.6916999%-86.7183959%THEFT 1ST DEGREE
96%B11-000844%1:00pm%I%April07,2011%600 Block of Hughes Rd Madison AL%34.7185872%-86.7417194%SIMPLE ASSAULT
97%B11-000845%2:05pm%II%April07,2011%Advance Grounds, 118 Patra Dr Madison AL%34.7394869%-86.753502%FORGERY 2ND
98%B11-000845%2:05pm%II%April07,2011%Advance Grounds, 118 Patra Dr Madison AL%34.7394869%-86.753502%THEFT 2ND DEGREE
99%B11-000846%3:16pm%II%April07,2011%500 Block of Highland Dr Madison AL%34.711187%-86.717851%BURGLARY-3RD
100%B11-000846%3:16pm%II%April07,2011%500 Block of Highland Dr Madison AL%34.711187%-86.717851%THEFT 3RD DEGREE
